"ADM3_PCODE","N","S1","S2","S3"
"220702","9528","0","76137","613"
"220703","1663","0","58428","2522"
"220704","2413","0","98761","417"
"220705","5535","0","64108","0"
"220801","36","0","1289","466"
"220802","0","0","11779","0"
"220803","0","0","766","165"
"220804","0","0","0","0"
"220805","0","0","16868","2458"
"220901","12","0","15230","2183"
"220902","23","0","25502","83"
"220903","0","0","0","36"
"220904","34","0","11907","11"
"220905","0","0","0","45"
"220906","25","0","40080","809"
"221001","0","0","75661","145"
"221002","46","0","68316","146"
"221003","0","0","71919","0"
"221004","80","0","63791","1810"
"221005","120","0","23253","118"
"230111","0","0","0","64"
"230305","0","0","0","6"
"230306","0","0","0","90"
"230307","0","0","0","35"
"230401","0","0","0","27"
"230402","0","0","0","37"
"230404","0","0","0","51"
"230602","0","0","1947","0"
"240601","1482","646","40380","3790"
"240602","388","0","35614","53"
"240603","161","0","7657","0"
"240604","24","0","0","0"
"240605","0","0","5370","0"
"240606","68","0","17512","618"
"240607","173","3072","12981","3878"
"240608","3416","0","81952","4963"
"240702","24","0","0","0"
"240703","0","0","2147","0"
"240801","4342","18080","11390","6905"
"240802","9288","20809","78156","42705"
"240803","9217","0","30136","30833"
"240805","1494","27739","1472","20224"
"240901","2430","0","1475","3354"
"240902","2457","3066","1666","5079"
"240903","498","3266","4639","5614"
"240904","319","8092","1755","14067"
"241001","11619","75019","7684","45427"
"241002","887","69567","38757","29046"
"250106","0","0","4156","0"
"250107","33","0","10701","0"
"250108","0","0","24827","0"
"250109","0","0","7597","0"
"250110","0","0","18004","0"
"250111","61","0","27553","508"
"250112","8","0","26004","32"
"250113","328","0","6980","553"
"250201","2892","0","13109","4494"
"250202","835","0","20545","0"
"250203","675","0","10349","3502"
"250204","1443","0","11415","1667"
"250205","2085","0","20878","9517"
"250206","3265","0","36524","7512"
"250207","293","0","17261","2030"
"250208","9053","0","3159","17292"
"250209","2888","0","26818","967"
"250210","1653","0","16487","1697"
"250211","3644","2142","13986","0"
"250212","828","0","17089","212"
"250213","6273","0","1253","16414"
"250214","5309","0","39118","28672"
"250301","2185","3238","19457","259"
"250302","1324","0","14459","0"
"250303","369","0","18899","155"
"250304","470","11119","9370","989"
"250305","4970","23129","31446","906"
"250306","55","1502","0","0"
"250701","0","0","2307","90"
"250702","0","0","2331","0"
"250703","0","0","10435","6"
"250704","0","0","1415","279"
"250705","388","0","8602","371"
"250706","1016","0","3130","442"
"250707","222","0","1725","0"
"250708","306","0","5661","0"
"250709","308","0","7010","977"
"250801","1857","0","12969","9491"
"250802","0","0","3901","0"
"250803","21","0","14055","0"
"250804","782","0","9303","7006"
"250806","0","0","1041","0"
"250807","1697","0","19255","3866"
"250808","634","0","15409","5442"
"250810","2865","0","6385","15957"
"250901","70","0","0","3153"
"250902","591","0","4176","3111"
"260101","0","0","614","0"
"260102","0","0","3301","0"
"260103","0","0","2232","0"
"260104","0","0","2349","0"
"260105","0","0","2850","0"
"260108","0","0","4197","0"
"260109","0","0","5650","0"
"260110","0","0","15797","0"
"260111","8","0","9173","0"
"260112","108","0","279","125"
"260113","44","0","1159","0"
"260201","25","0","0","0"
"260203","0","0","2986","0"
"260206","0","0","2142","0"
"260207","22","0","4890","0"
"260301","0","0","2684","0"
"260304","0","0","950","0"
"260305","0","0","1286","0"
"260306","0","0","1817","0"
"260307","0","0","950","0"
"260308","0","0","4400","0"
"260309","0","0","25028","0"
"260310","18","0","3509","0"
"260407","48","0","0","0"
"270101","971","0","44542","186"
"270102","7539","12713","43583","6681"
"270103","6372","0","70053","9491"
"270104","3781","22037","71196","1475"
"270105","1862","32182","17198","1086"
